"bigram","freq","speaker"
"holy shitsnacks",15,"PAM"
"ungh ungh",14,"PAM"
"ms archer",8,"PAM"
"yum yum",8,"PAM"
"holy shit",7,"PAM"
"ha ha",6,"PAM"
"whoa whoa",6,"PAM"
"aw crap",5,"PAM"
"bawk bawk",5,"PAM"
"god damn",5,"PAM"
"ow ow",5,"PAM"
"wait wait",5,"PAM"
"hey yeah",4,"PAM"
"key clacks",4,"PAM"
"uh huh",4,"PAM"
"ahem inappropriate",3,"PAM"
"bang key",3,"PAM"
"clears throat",3,"PAM"
"cocaine puddin",3,"PAM"
"dairy farm",3,"PAM"
"ding dong",3,"PAM"
"dumb ass",3,"PAM"
"dut dut",3,"PAM"
"god dammit",3,"PAM"
"hot lunch",3,"PAM"
"jesus christ",3,"PAM"
"nut sack",3,"PAM"
"opposite world",3,"PAM"
"phuh phuh",3,"PAM"
"pop pop",3,"PAM"
"real life",3,"PAM"
"sexual harassment",3,"PAM"
"sis sis",3,"PAM"
"sister edie",3,"PAM"
"truck stops",3,"PAM"
"100 pounds",2,"PAM"
"aw shit",2,"PAM"
"baby seamus",2,"PAM"
"bear claw",2,"PAM"
"black guy",2,"PAM"
"breast cancer",2,"PAM"
"chop chop",2,"PAM"
"clacks bang",2,"PAM"
"damn dawg",2,"PAM"
"ding dongs",2,"PAM"
"gimme gimme",2,"PAM"
"gotta figure",2,"PAM"
"green russians",2,"PAM"
"hai hai",2,"PAM"
"harassment complaints",2,"PAM"
"heh heh",2,"PAM"
"hey speaking",2,"PAM"
"ho ho",2,"PAM"
"human resources",2,"PAM"
"ice machine",2,"PAM"
"lana jealous",2,"PAM"
"mama bird",2,"PAM"
"million bucks",2,"PAM"
"miss archer",2,"PAM"
"mole's blood",2,"PAM"
"ms archer's",2,"PAM"
"neck bones",2,"PAM"
"o.s aw",2,"PAM"
"ow cut",2,"PAM"
"ow goddamn",2,"PAM"
"owe fourteen",2,"PAM"
"pacman jones",2,"PAM"
"peer reviews",2,"PAM"
"pretty thirsty",2,"PAM"
"red hook",2,"PAM"
"resources director",2,"PAM"
"shiroi kabocha",2,"PAM"
"shit's sake",2,"PAM"
"shitter's clogged",2,"PAM"
"skinny ass",2,"PAM"
"soviet russia",2,"PAM"
"suckin amazing",2,"PAM"
"super judgy",2,"PAM"
"swiss guard",2,"PAM"
"tits whaaat",2,"PAM"
"told ya",2,"PAM"
"wait till",2,"PAM"
"wee baby",2,"PAM"
"wh hey",2,"PAM"
"ya gonna",2,"PAM"
"yer cooch",2,"PAM"
"yum gimme",2,"PAM"
"10 4",1,"PAM"
"10 hours",1,"PAM"
"12 hours",1,"PAM"
"15 freakin",1,"PAM"
"2 sharknoid",1,"PAM"
"20 grand",1,"PAM"
"20,000 hookers",1,"PAM"
"25 grand",1,"PAM"
"36 guys",1,"PAM"
"37 37",1,"PAM"
"4 shark",1,"PAM"
"40 minutes",1,"PAM"
"5 discount",1,"PAM"
"500 acre",1,"PAM"
"5000 bucks",1,"PAM"
"60 bucks",1,"PAM"
"600 holsteins",1,"PAM"
"7 a.m",1,"PAM"
"80 uninterrupted",1,"PAM"
"90 gazillion",1,"PAM"
"911 burn",1,"PAM"
"99 bottles",1,"PAM"
"absolutely crazy",1,"PAM"
"accent swedish",1,"PAM"
"accounting department",1,"PAM"
"acre dairy",1,"PAM"
"actual acorn",1,"PAM"
"actual piracy",1,"PAM"
"agent kane",1,"PAM"
"ah jeez",1,"PAM"
"ah laundry",1,"PAM"
"ahem wildly",1,"PAM"
"album cover",1,"PAM"
"alfred gotrocks",1,"PAM"
"alive laughing",1,"PAM"
"amazing driver",1,"PAM"
"amish bible",1,"PAM"
"anal probe",1,"PAM"
"anybody's gonna",1,"PAM"
"app ohh",1,"PAM"
"ar randy",1,"PAM"
"archer forever",1,"PAM"
"archer jealous",1,"PAM"
"archer joint",1,"PAM"
"archer's gonna",1,"PAM"
"archer's pissed",1,"PAM"
"arigato fellas",1,"PAM"
"arimasen homies",1,"PAM"
"arms growing",1,"PAM"
"arn's balls",1,"PAM"
"ary position",1,"PAM"
"asbestos lawsuit",1,"PAM"
"ass advertising",1,"PAM"
"ass beat",1,"PAM"
"ass broke",1,"PAM"
"ass drowning",1,"PAM"
"ass nut",1,"PAM"
"ass oughta",1,"PAM"
"ass switchblade",1,"PAM"
"auditory hallucinations",1,"PAM"
"aw crapsnacks",1,"PAM"
"aw damn",1,"PAM"
"aw jeez",1,"PAM"
"aw leave",1,"PAM"
"aw maaan",1,"PAM"
"aw quit",1,"PAM"
"aw shush",1,"PAM"
"aw stai",1,"PAM"
"aww li'l",1,"PAM"
"b.a baracus",1,"PAM"
"baby a.j",1,"PAM"
"baby boys",1,"PAM"
"baby elton",1,"PAM"
"baby factories",1,"PAM"
"baby shower",1,"PAM"
"bachelorette parties",1,"PAM"
"back's broken",1,"PAM"
"backseat drivers",1,"PAM"
"bad guy",1,"PAM"
"bad guys",1,"PAM"
"bad sticky",1,"PAM"
"bag cherlene",1,"PAM"
"bailed triflin",1,"PAM"
"bait car",1,"PAM"
"bait cars",1,"PAM"
"ball slappiney",1,"PAM"
"balls taste",1,"PAM"
"banged whichever",1,"PAM"
"banging pad",1,"PAM"
"basically pure",1,"PAM"
"beam releasing",1,"PAM"
"bear claws",1,"PAM"
"beard mcboggeyes",1,"PAM"
"beating huh",1,"PAM"
"bees hang",1,"PAM"
"bell bottoms",1,"PAM"
"bennie forms",1,"PAM"
"bet agent",1,"PAM"
"bet double",1,"PAM"
"bigger question",1,"PAM"
"biggest country",1,"PAM"
"bikini wax",1,"PAM"
"bill donovan",1,"PAM"
"biometric scanners",1,"PAM"
"bionic legs",1,"PAM"
"bird bones",1,"PAM"
"bitch ectomy",1,"PAM"
"bitch neck",1,"PAM"
"bitch's ass",1,"PAM"
"black bionic",1,"PAM"
"black eye",1,"PAM"
"black guys",1,"PAM"
"black mexican",1,"PAM"
"black people",1,"PAM"
"black person",1,"PAM"
"black tie",1,"PAM"
"bleached asshole",1,"PAM"
"blintzen nice",1,"PAM"
"blob marley",1,"PAM"
"blood s'up",1,"PAM"
"blood sugar",1,"PAM"
"blow jobs",1,"PAM"
"blow pam's",1,"PAM"
"blue ribbon",1,"PAM"
"bluntz blintzen",1,"PAM"
"bob ross",1,"PAM"
"bodied woman",1,"PAM"
"body shame",1,"PAM"
"bone throwing",1,"PAM"
"boob job",1,"PAM"
"boom ahem",1,"PAM"
"boom priapism",1,"PAM"
"boring conversation",1,"PAM"
"borrowed time",1,"PAM"
"bowling balls",1,"PAM"
"boy eh",1,"PAM"
"boy ha",1,"PAM"
"boy ring",1,"PAM"
"boyfriend arn",1,"PAM"
"brain chips",1,"PAM"
"brake line's",1,"PAM"
"brazilian steakhouse",1,"PAM"
"brazos county",1,"PAM"
"breakfast clubber",1,"PAM"
"breakup uh",1,"PAM"
"breath fogs",1,"PAM"
"breathing deeply",1,"PAM"
"bring em",1,"PAM"
