"line","speaker","dialogue"
110,"PAM"," [ GASPS ]"
170,"PAM"," BECAUSE WHEN YOUR CO-WORKERS PUT FOOD IN THE REFRIGERATOR, THAT'S A BOND OF TRUST, OKAY? AND IF YOU VIOLATE THAT TRUST, OR THE FOOD --"
172,"PAM"," I AM DEALING WITH THE BREAK-ROOM PROBLEM."
174,"PAM"," YOU KNOW WHAT?"
176,"PAM"," NOT A PRETTY NAME, IS IT?"
178,"PAM"," A FAVOR?! AFTER HOW YOU TREATED ME?!"
183,"PAM"," I HAD TO GET THREE STITCHES."
185,"PAM"," [ GASPS ]"
493,"PAM"," OH, YOU'RE GIVING ME THE TRUCK NOISE, KAREN CARPENTER'S STUNT DOUBLE?"
495,"PAM"," IT'S ALL THE HSA SWITCHOVER CRAP."
497,"PAM"," WHEN CYRIL E-FILES THESE DD-14s."
499,"PAM"," WHAT?!"
503,"PAM"," WORLDS COLLIDE, HUH?"
507,"PAM"," I'M THE HUMAN RESOURCES DIRECTOR, LITTLE MISS HOSTILE WORK ENVIRONMENT!"
509,"PAM"," HEY! INAPPROPRIATE WORKPLACE TOPIC... AND ALSO A DEAL BREAKER."
514,"PAM"," JESUS JONES. YES."
517,"PAM"," THAT WOULD BE JANE WHO DID THAT."
520,"PAM"," BECAUSE THIS IS OBVIOUSLY ZUCCHINI."
522,"PAM"," WHAT'S THAT SUPPOSED TO MEAN?"
589,"PAM"," OH, JUST ANTIHISTAMINES -- MOSTLY."
593,"PAM"," HOLY SHITSNACKS!"
596,"PAM"," OH, NO, WE CAN'T BE LOOKING AT THIS. IT'S TOTALLY CONFIDENTIAL."
598,"PAM"," OH, MY GOD. CYRIL TRIED TO GET HIS PLAN TO COVER A PENIS... ENSMALLMENT?"
600,"PAM"," I BET AGENT KANE THUNKS IT PLENTY."
602,"PAM"," I BET SHE, UH -- NO, I GOT NOTHING."
611,"PAM"," DEAL UN-BREAKER."
685,"PAM"," HANG ON A SECOND. HOW YOU DOING, MISS ARCHER?"
687,"PAM"," OKAY TRY -- OKAY, TRY ""GUEST."""
689,"PAM"," I KNOW, RIGHT? SO HERE LET'S MAKE THE CO-PAY ZERO AND THE DEDUCTIBLE --"
691,"PAM"," NO. LOW. YOU WANT THE LOWEST DEDUCTIBLE."
693,"PAM"," AND PEOPLE THINK JANE'S STUPID."
695,"PAM"," YOU ARE A BITCH."
697,"PAM"," THOUGHT SHE WAS GOING IN A WHOLE OTHER DIRECTION WITH THAT."
703,"PAM"," OH, MY GOD."
725,"PAM"," TO SCATTERBRAIN JANE."
727,"PAM"," AND THE BOOB JOB THAT YOU SO NEED."
729,"PAM"," AND THE SKINNY-BITCH-ECTOMY YOU NEED. [ MACHINE-GUN FIRE ] OH, MY GOD, DID YOU HEAR THAT?"
833,"PAM"," YEAH, I AM KIND OF LOVELY."
839,"PAM"," YEAH, BUT UNLIKE YOUR DUSTY ""VAGINE,"" IT'S NOT GONNA STAY EMPTY."
841,"PAM"," WELL, I AM THE HUMAN RESOURCES DIRECTOR."
843,"PAM"," YOU HEARD CONWAY. I'M ESSENTIAL."
846,"PAM"," WAIT. REALLY? 10,000?"
848,"PAM"," I'M GONNA GET THAT OFFICE!"
875,"PAM"," COLOR XEROX! AND, WHAT, YOU NEED MORE ROOM TO CHOP VEGETABLES?"
890,"PAM"," YOU'RE KIDDING."
892,"PAM"," YEAH?"
894,"PAM"," ON WHAT GROUNDS?"
896,"PAM"," WOW."
898,"PAM"," WHERE?"
900,"PAM"," I'VE GOT THIS OTHER COMPLAINT FROM BRETT, WHO SAYS YOU SHOT HIM AGAIN."
902,"PAM"," AW, SHIT! THOSE WERE THE NEWSLETTERS!"
943,"PAM"," WELL, THE SYSTEM BOUNCED BACK YOUR SEXUAL-HARASSMENT COMPLAINT AGAINST CONWAY."
945,"PAM"," WHO AM I -TRON? GO TALK TO YOUR MOTHER. SHE'S THE ONE WHO BOUNCED IT."
947,"PAM"," WHOA!"
949,"PAM"," DON'T GO STARTING RUMORS ABOUT CONWAY BONING YOUR MOTHER."
951,"PAM"," YOU GET ANY OF THAT IN THE TRASH CAN?"
994,"PAM"," WHAT YOU DOING, BIRD BONES?"
996,"PAM"," BUT THERE'S A DRUGSTORE HALF A -OH. YOU MEAN THAT YOU TAKE ONLINE?"
998,"PAM"," WELL, THANK GOD FOR THEM INTERNETS."
1058,"PAM"," FROM THE -THERE'S NO GLARE!"
1061,"PAM"," 90 GAZILLION PERCENT OF THE TIME..."
1212,"PAM"," YEAH, I COULD GET USED TO THIS."
1265,"PAM"," MEATBALLS!"
1267,"PAM"," BET YOU GET THAT A LOT, HUH, TORVIE?"
1269,"PAM"," [ Swedish accent ] SWEDISH MEATBALLS."
1295,"PAM"," YEAH, TELL HIM ABOUT THE SEX ROBOT!"
1299,"PAM"," BUT IT DOESN'T JUST FIST."
1301,"PAM"," TELL HIM."
1309,"PAM"," FISTER ROBOTO WOULDN'T TAKE THAT."
1323,"PAM"," YEAH. WHERE'S THE DAMN FISH BALLS ALREADY? I COULD KILL FOR SOME FOOD."
1328,"PAM"," YOU KNOW..."
1383,"PAM"," YEAH, WHAT DO THEY USE -- KILOWATTS?"
1390,"PAM"," I THINK THEY'RE KIND OF SEXY."
1485,"PAM"," WHAT?"
1503,"PAM"," WHAT?"
1536,"PAM"," I KIND OF LIKE IT."
1560,"PAM"," YEAH, I'M KIND OF HUNGRY. IS THAT WEIRD?"
1633,"PAM"," BANG. - [ KEY CLACKS ] - BANG. [ KEY CLACKS ] EW. KILL. - [ KEY CLACKS ] - BANG. - [ KEY CLACKS ] -"
1635,"PAM"," SHUT UP. OH, MY GOD -- BANG."
1639,"PAM"," IT'S ON THE ISIS INTRANET. YOU CLICK THROUGH PICTURES OF EVERYBODY WHO WORKS HERE, AND SAY IF YOU'D RATHER --"
1642,"PAM"," THAT'S WHAT I SAID, BUT IF YOU GO THROUGH THE WHOLE LIST, YOU CAN SEE WHAT EVERYBODY SAID ABOUT EVERYBODY."
1646,"PAM"," HEY --"
1662,"PAM"," THANKS A LOT."
1730,"PAM"," WELL, THANKS A LOT!"
1862,"PAM"," I SERIOUSLY THINK YOU'RE SCARY."
1864,"PAM"," JESUS CHRIST."
1870,"PAM"," NO, I THINK IT'S 'CAUSE HE SAID HE WANTED TO MARRY HER."
2015,"PAM"," WHY? WOULD YOU BE INTO THAT? JUST CURIOUS. WHICH WAS AN ODD WORD CHOICE RIGHT THERE, AND AM I TALKING OUT LOUD?"
2036,"PAM"," YOU KNOW, I THINK WE'RE MAKING SOME PROGRESS."
2038,"PAM"," WE CAN IF CERTAIN PEOPLE WOULD HELP."
2044,"PAM"," DON'T LISTEN TO HIM. HE'S JUST TRYING TO --"
2051,"PAM"," NO!"
2053,"PAM"," CYRIL, GODDAMN IT. YOU'RE SMOTHERING LANA."
2058,"PAM"," CYRIL, TRUST ME. GIVE HER SOME SPACE."
2062,"PAM"," WHAT IS WRONG WITH YOU?!"
2077,"PAM"," IT'S CALLED TOUGH LOVE, CYRIL."
2102,"PAM"," SERIOUSLY. ARE YOU PEOPLE JUST BAILING ON THIS WHOLE ASSIGNMENT OR WHAT?"
2104,"PAM"," RESCUED! KENNY CRYBABY! COME ON! I BET MR. ARCHER ALREADY WENT ALL DOUBLE-""O""-NINJA ON SKORPIO'S ASS!"
2109,"PAM"," YEAH, HANG ON, CRAZY PANTS."
2116,"PAM"," DAMN IT. LOOK WHAT YOU -- SHOULDN'T YOU BE OFF COOKING A RABBIT SOMEWHERE?"
2134,"PAM"," AND THAT'S THE REASON I DON'T HAVE SEX WITH MY CO-WORKERS. THAT AND NO ONE EVER LETS ME."
2202,"PAM"," CYRIL, COME ON. DON'T LISTEN TO -- WHAT THE HELL'S YOUR NAME NOW, ANYWAY?"
2204,"PAM"," EXACTLY!"
2206,"PAM"," SO, WHAT YOU SNORTING OFF ME?"
2208,"PAM"," THE FLAVOR ENHANCER!"
2210,"PAM"," PIPE DOWN, PIPE CLEANER! AND, CYRIL, IT'S A RESCUE MISSION, OKAY? PROBABLY FRAUGHT WITH DANGER."
2212,"PAM"," I BET THEY'RE FIGHTING FOR THEIR LIVES."
2242,"PAM"," OH, MY GOD! YES! WE SHOULD CALL HER! BECAUSE I WOULD LITERALLY MURDER SOMEBODY FOR SOME MIGAS RIGHT NOW."
2244,"PAM"," AND I AM SO OPEN TO THAT. AND, CYRIL, IGNORE HER. NOTHING'S GOING ON BETWEEN ARCHER AND LANA. ALTHOUGH..."
2246,"PAM"," WELL, EVERY ISIS AGENT HAS A COMPANY-ISSUED LIFE-INSURANCE POLICY. AND, UH..."
2261,"PAM"," THEY HAVE TO UPDATE THOSE ""BENNIE"" FORMS EVERY QUARTER."
2265,"PAM"," WHAT?!"
2267,"PAM"," ARE YOU DATE OF EMPLOYMENT OR --"
2273,"PAM"," CYRIL, COME ON, HON. WE ALL WERE."
2283,"PAM"," CYRIL! CYRIL, COME ON! LET GO!"
2382,"PAM"," UH, KICK YOUR SKINNY ASS! NOW, COME ON. WE GOT TO GET OFF THIS THING BEFORE --"
2384,"PAM"," OH, WELL, THEN, MAKE ME A DOUBLE CAMPARI AND, UH... I GUESS, VODKA."
2401,"PAM"," GOD DAMN IT! WE'RE MOVING!"
2403,"PAM"," WHAT HAPPENED TO HALF AN HOUR?"
2405,"PAM"," WH-- WHY THE --"
2412,"PAM"," [ Laughing ] OH, MY GOD! YOU TWO BANGED?!"
2414,"PAM"," WOW. YOU ARE JUST A DOG IN A MANGER."
2416,"PAM"," OH, FOR THE -- IT'S CALLED A DAIRY."
2460,"PAM"," YEAH, UNTIL SHE TAGS ME IN."
2462,"PAM"," [ Laughing ] I'M KIDDING! MY BACK'S ALL MESSED UP."
2463,"PAM"," SO, YOU'RE RUINING CYRIL'S LIFE BECAUSE, IN YOUR DREAM-THE-IMPOSSIBLE-DREAM WORLD, IT'LL MAKE MR. ARCHER JEALOUS?"
2465,"PAM"," YEAH? WHAT'S THE POEM GONNA BE ABOUT WHEN CYRIL SNAPS AND MURDERS YOU?"
2527,"PAM"," YOU'RE RUINING YOUR LIFE, YOU IDIOT!"
2529,"PAM"," AND MAKING IT HARD TO DROP A DEUCE."
2570,"PAM"," OKAY, SO, CYRIL GOT IN OVER HIS HEAD."
2572,"PAM"," NO, NO, NO. HE RAN FROM HER TO GO CONFESS TO LANA. BUT, SO, THEN THIS ONE STARTS FREAKING OUT, AND LONG STORY SHORT, I KIND OF HAD TO DROWN HER IN THE TUB."
2575,"PAM"," APPARENTLY NOT, SO... GOOD NEWS."
2580,"PAM"," AGAINST THE RULES."
2584,"PAM"," MORE GOOD NEWS."
2587,"PAM"," GOOD FOR YOU."
2787,"PAM"," [ Slurring ] BUT IS IT SUPPOSED TO BE BROWN?"
2789,"PAM"," [ BELCHES ]"
2791,"PAM"," MM-HMM, AND WHY DO YOU HAVE IT?"
