character,term,freq,adjLL,rank,negrank,char_tot,revrank
PAM,holy shitsnacks,15,152.992995,1,-1,5044,20
PAM,ungh ungh,14,132.9146045,2,-2,5044,19
PAM,shitsnacks,17,89.98171758,4,-4,5044,17
PAM,yum yum,8,69.93034022,5,-5,5044,16
PAM,aw crap,5,55.89706872,7,-7,5044,14
PAM,dicknuts,9,51.6627636,8,-8,5044,13
PAM,yum,11,46.21546793,9,-9,5044,12
PAM,yay,12,44.69548528,10,-10,5044,11
PAM,ungh,16,42.6887403,11,-11,5044,10
PAM,edie,8,29.18478494,13,-13,5044,8
PAM,lickbag,6,28.81825561,14,-14,5044,7
PAM,sharknoid,5,28.70064407,15,-15,5044,6
PAM,frickin,19,26.4457728,16,-16,5044,5
PAM,neck,8,26.01377572,17,-17,5044,4
PAM,tits,9,25.42333834,18,-18,5044,3
